Landskode	Stadnamn nynorsk	Stadnamn bokmål	Stadnamn engelsk	Geonames-ID	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Landsnamn nynorsk	Landsnamn bokmål	Landsnamn engelsk	Folketal	Lat	Lon	Høgd over havet	Lenke til county	Lenke til engelsk-XML
AD	Vila	Vila	Vila	3038832	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.53222	1.57392	1418	Encamp	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.53222&lon=1.57392
AD	Sornàs	Sornàs	Sornàs	3038987	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.56540	1.52870	1514	Ordino	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.56540&lon=1.52870
AD	Sispony	Sispony	Sispony	3039077	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.53355	1.51481	1252	la_Massana	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.53355&lon=1.51481
AD	Segudet	Segudet	Segudet	3039132	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.55755	1.53858	1556	Ordino	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.55755&lon=1.53858
AD	Sant Pere	Sant Pere	Sant Pere	3039154	folkesett stad	befolket sted	populated place	Andorra	Andorra	Andorra	0	42.57952	1.65362	1767	Canillo	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.57952&lon=1.65362
AD	Andorra la Vella	Andorra la Vella	Andorra la Vella	3041563	Hovudstad	Hovedstad	capital	Andorra	Andorra	Andorra	20430	42.50779	1.52109	1073	Andorra_la_Vella	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.50779&lon=1.52109
AD	les Escaldes	les Escaldes	Escaldes-Engordany	3040051	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	15853	42.50729	1.53414	1350	Escaldes-Engordany	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.50729&lon=1.53414
AD	Encamp	Encamp	Encamp	3040686	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	11223	42.53451	1.57670	1309	Encamp	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.53451&lon=1.57670
AD	Sant Julià de Lòria	Sant Julià de Lòria	Sant Julià de Lòria	3039163	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	8022	42.46372	1.49129	1045	Sant_Julià_de_Lòria	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.46372&lon=1.49129
AD	la Massana	la Massana	La Massana	3040132	regionshovudstad	regionshovedstad	regional capital	Andorra	Andorra	Andorra	7211	42.54499	1.51483	1257	la_Massana	https://api.met.no/weatherapi/locationforecast/2.0/compact?lat=42.54499&lon=1.51483
